"id","name","category","aliases","geometry_type","geometry_wkt","confidence"
"sfax_route_lafrane","Route Lafrane","road","Route Lafrane|Rte Lafrane|Lafrane|طريق الأفران","LINESTRING","LINESTRING (10.7533300 34.7439600, 10.7530000 34.7442000, 10.7527700 34.7443000, 10.7525200 34.7441100, 10.7520400 34.7444800, 10.7514600 34.7449000, 10.7511400 34.7451300, 10.7511100 34.7451500, 10.7508600 34.7453300, 10.7508500 34.7453400, 10.7505100 34.7455700, 10.7504600 34.7456100, 10.7504000 34.7456400, 10.7502100 34.7457600, 10.7499300 34.7459500, 10.7497800 34.7460400, 10.7494600 34.7462300, 10.7492200 34.7463700, 10.7491000 34.7464500, 10.7490200 34.7465100, 10.7488300 34.7466100, 10.7487400 34.7466600, 10.7484600 34.7468400, 10.7483300 34.7469300, 10.7483100 34.7469400, 10.7481300 34.7470700, 10.7479500 34.7472000, 10.7476100 34.7474300, 10.7474900 34.7475100, 10.7473400 34.7476200, 10.7471600 34.7477200, 10.7469900 34.7477900, 10.7468300 34.7478300, 10.7467600 34.7478300, 10.7466400 34.7478700, 10.7464400 34.7479000, 10.7463800 34.7479100, 10.7460900 34.7479900, 10.7457300 34.7480500, 10.7456300 34.7480700, 10.7454200 34.7481200, 10.7452700 34.7481700, 10.7449700 34.7483000, 10.7447800 34.7484000, 10.7447500 34.7484100, 10.7446000 34.7484800, 10.7441500 34.7486900, 10.7436600 34.7489300, 10.7435900 34.7489600, 10.7433900 34.7490600, 10.7431300 34.7492300, 10.7428700 34.7494000, 10.7424300 34.7496700, 10.7421700 34.7498800, 10.7419800 34.7500100, 10.7419200 34.7500500, 10.7415100 34.7504000, 10.7413800 34.7504900, 10.7410900 34.7507200, 10.7408100 34.7509600, 10.7405900 34.7511600, 10.7403900 34.7513500, 10.7403600 34.7513700, 10.7402000 34.7515200, 10.7400700 34.7516400, 10.7398600 34.7518300, 10.7397100 34.7519700, 10.7393900 34.7522700, 10.7387600 34.7528500, 10.7386400 34.7529600, 10.7384900 34.7530900, 10.7384100 34.7531600, 10.7380400 34.7535000, 10.7374900 34.7540100, 10.7372500 34.7542500, 10.7371200 34.7543900, 10.7367200 34.7547800, 10.7364400 34.7550600, 10.7363800 34.7551200, 10.7357700 34.7557100, 10.7357600 34.7557300, 10.7356400 34.7558400, 10.7352400 34.7562100, 10.7351300 34.7563400, 10.7351000 34.7564100, 10.7350300 34.7564800, 10.7349900 34.7565200, 10.7349700 34.7565600, 10.7349400 34.7566100, 10.7349200 34.7566500, 10.7348900 34.7566800, 10.7349000 34.7567000, 10.7349000 34.7567300, 10.7349000 34.7567600, 10.7348900 34.7567700, 10.7348900 34.7567800, 10.7348900 34.7567900, 10.7348800 34.7567900, 10.7348800 34.7568000, 10.7348700 34.7568100, 10.7348600 34.7568200, 10.7348500 34.7568300, 10.7348400 34.7568300, 10.7348400 34.7568400, 10.7348300 34.7568400, 10.7348200 34.7568400, 10.7348100 34.7568500, 10.7348000 34.7568500, 10.7347900 34.7568500, 10.7347800 34.7568500, 10.7347400 34.7568600, 10.7347100 34.7568500, 10.7346500 34.7569200, 10.7346100 34.7569500, 10.7345800 34.7569800, 10.7345400 34.7570100, 10.7343900 34.7570900, 10.7339300 34.7575600, 10.7336200 34.7579800, 10.7333800 34.7582800, 10.7331000 34.7586200, 10.7330400 34.7586800, 10.7329800 34.7587400, 10.7326300 34.7590900, 10.7323500 34.7593300, 10.7322700 34.7593900, 10.7321800 34.7594600, 10.7317500 34.7598100, 10.7314700 34.7600400, 10.7313500 34.7601400, 10.7312700 34.7602000, 10.7308000 34.7605600, 10.7305400 34.7607400, 10.7305100 34.7607600, 10.7300000 34.7610800, 10.7298900 34.7611500, 10.7295500 34.7614400, 10.7292900 34.7616400, 10.7292500 34.7616700, 10.7289900 34.7619100, 10.7289600 34.7619400, 10.7289300 34.7619700, 10.7286900 34.7622200, 10.7286100 34.7623100, 10.7285500 34.7623600, 10.7281800 34.7626600, 10.7279400 34.7628500, 10.7277000 34.7630600, 10.7272700 34.7634500, 10.7269800 34.7637100, 10.7269200 34.7637600, 10.7266500 34.7639800, 10.7261900 34.7643500, 10.7261200 34.7644100, 10.7257300 34.7647300, 10.7255400 34.7649100, 10.7253600 34.7650800, 10.7252900 34.7651300, 10.7250500 34.7653800, 10.7246000 34.7657800, 10.7244900 34.7658700, 10.7243400 34.7660000, 10.7239100 34.7663700, 10.7236900 34.7665600, 10.7234700 34.7667500, 10.7233900 34.7668200, 10.7232600 34.7669400, 10.7231000 34.7670800, 10.7227600 34.7673800, 10.7225500 34.7675700, 10.7224800 34.7676400, 10.7222700 34.7678200, 10.7221800 34.7679100, 10.7219900 34.7680900, 10.7217900 34.7682700, 10.7215400 34.7685100, 10.7213800 34.7686600, 10.7207700 34.7691800, 10.7206400 34.7693100, 10.7201000 34.7698000, 10.7197600 34.7701000, 10.7192200 34.7705600, 10.7191200 34.7706300, 10.7186700 34.7710200, 10.7183200 34.7713200, 10.7180800 34.7715100, 10.7180100 34.7715600, 10.7177100 34.7718000, 10.7174300 34.7720400, 10.7172800 34.7721700, 10.7172000 34.7722500, 10.7171000 34.7723500, 10.7169700 34.7725000, 10.7168700 34.7725900, 10.7166500 34.7728000, 10.7161200 34.7733400, 10.7158000 34.7736600, 10.7154000 34.7740500, 10.7153300 34.7741200, 10.7149400 34.7745100, 10.7148600 34.7746000, 10.7146100 34.7748400, 10.7145100 34.7749400, 10.7140600 34.7754200, 10.7140100 34.7754400, 10.7139700 34.7754700, 10.7139500 34.7754900, 10.7135900 34.7758700, 10.7131800 34.7762400, 10.7129100 34.7764800, 10.7123900 34.7769500, 10.7119100 34.7773900, 10.7118200 34.7774700, 10.7115900 34.7777000, 10.7114800 34.7778200, 10.7110700 34.7782000, 10.7107700 34.7784900, 10.7104700 34.7787700, 10.7098900 34.7793200, 10.7096800 34.7795600, 10.7093800 34.7798500, 10.7091200 34.7800900, 10.7090800 34.7801300, 10.7089300 34.7802600, 10.7085100 34.7806400, 10.7083900 34.7807500, 10.7083300 34.7808100, 10.7080400 34.7810800, 10.7079700 34.7811400, 10.7077300 34.7813500, 10.7075600 34.7815100, 10.7073800 34.7816900, 10.7073100 34.7817800, 10.7069600 34.7822300, 10.7067000 34.7826000, 10.7066800 34.7826300, 10.7062000 34.7833100, 10.7061300 34.7834100, 10.7060100 34.7835800, 10.7058100 34.7838600, 10.7057600 34.7839400, 10.7057400 34.7839600, 10.7055000 34.7842700, 10.7053300 34.7844600, 10.7051700 34.7846400, 10.7050500 34.7847700, 10.7048000 34.7850500, 10.7046600 34.7852000, 10.7045100 34.7853400, 10.7043200 34.7855600, 10.7041100 34.7858100, 10.7036900 34.7863100, 10.7035800 34.7864400, 10.7034900 34.7865300, 10.7033000 34.7867700, 10.7030800 34.7870200, 10.7029400 34.7871700, 10.7025600 34.7876200, 10.7024700 34.7877200, 10.7024500 34.7877400, 10.7018000 34.7884600, 10.7017500 34.7885100, 10.7017200 34.7885500, 10.7015900 34.7886800, 10.7014200 34.7888300, 10.7012200 34.7890200, 10.7010000 34.7892400, 10.7006900 34.7895900, 10.7006200 34.7896600, 10.7005600 34.7897300, 10.7005500 34.7897400, 10.6999100 34.7904500, 10.6998800 34.7904800, 10.6997300 34.7906500, 10.6993200 34.7911100, 10.6993100 34.7911200, 10.6989000 34.7915100, 10.6986800 34.7917200, 10.6986000 34.7918000, 10.6984400 34.7919400, 10.6983700 34.7920000, 10.6983000 34.7920600, 10.6980900 34.7922700, 10.6979100 34.7924700, 10.6977500 34.7926900, 10.6975400 34.7930600, 10.6975100 34.7931000, 10.6972900 34.7934900, 10.6971500 34.7937400, 10.6971200 34.7937900, 10.6971000 34.7938200, 10.6970500 34.7939000, 10.6969200 34.7941300, 10.6968900 34.7941800, 10.6968700 34.7942100, 10.6967700 34.7943900, 10.6967400 34.7944400, 10.6966800 34.7945200, 10.6965600 34.7946800, 10.6964400 34.7948700, 10.6960900 34.7953000, 10.6960700 34.7953300, 10.6958500 34.7955400, 10.6958000 34.7955800, 10.6954600 34.7958700, 10.6951600 34.7961400, 10.6948100 34.7964600, 10.6944600 34.7967500, 10.6943900 34.7968100, 10.6942900 34.7968900, 10.6940600 34.7970900, 10.6933700 34.7977000, 10.6931400 34.7979100, 10.6925600 34.7984200, 10.6923700 34.7986000, 10.6914600 34.7994800, 10.6914200 34.7995300, 10.6912600 34.7996900, 10.6910600 34.7999200, 10.6909300 34.8000800, 10.6904600 34.8006600, 10.6902000 34.8005000)","seed_approx"
"sfax_route_mahdia","Route de Mahdia","road","Route Mahdia|Rte de Mahdia|Mahdia|طريق المهدية","LINESTRING","LINESTRING (10.7602 34.7411, 10.7730 34.7660, 10.7890 34.7950, 10.8050 34.8250)","seed_approx"
"sfax_route_teniour","Route Teniour","road","Route de Teniour|Rte Teniour|Teniour|طريق تنيور","LINESTRING","LINESTRING (10.7602 34.7411, 10.7390 34.7550, 10.7180 34.7700, 10.6950 34.7870)","seed_approx"
"sfax_route_sokra","Route Sokra / Soukra","road","Route Sokra|Route Soukra|Route de Soukra|Sokra|Soukra|سكرة|طريق سكرة","LINESTRING","LINESTRING (10.7602 34.7411, 10.7460 34.7520, 10.7280 34.7640, 10.7050 34.7790)","seed_approx"
"sfax_route_gremda","Route Gremda","road","Route de Gremda|Rte Gremda|Gremda|طريق قرمدة","LINESTRING","LINESTRING (10.7602 34.7411, 10.7410 34.7280, 10.7180 34.7120, 10.6900 34.6920)","seed_approx"
"sfax_route_menzel_chaker","Route Menzel Chaker","road","Route de Menzel Chaker|Menzel Chaker|منزل شاكر","LINESTRING","LINESTRING (10.7602 34.7411, 10.7350 34.7340, 10.7050 34.7260, 10.6700 34.7160)","seed_approx"
"sfax_route_tunis","Route de Tunis","road","Route Tunis|GP1 Nord|طريق تونس","LINESTRING","LINESTRING (10.7602 34.7411, 10.7650 34.7650, 10.7720 34.7900, 10.7800 34.8250)","seed_approx"
"sfax_route_gabes","Route de Gabès","road","Route Gabes|GP1 Sud|طريق قابس","LINESTRING","LINESTRING (10.7602 34.7411, 10.7500 34.7150, 10.7350 34.6850, 10.7150 34.6500)","seed_approx"
"sfax_route_el_ain","Route El Ain","road","Route de l'Ain|Route El Aïn|El Ain|العين|طريق العين","LINESTRING","LINESTRING (10.7602 34.7411, 10.7350 34.7260, 10.7100 34.7100, 10.6800 34.6900)","seed_approx"
"sfax_route_aeroport","Route de l'Aéroport","road","Aéroport Sfax|Route Aeroport|Airport Road|طريق المطار","LINESTRING","LINESTRING (10.7602 34.7411, 10.7450 34.7330, 10.7280 34.7230, 10.7100 34.7110)","seed_approx"
